shift_date,total,filled,unfilled,cancelled,total_7d,filled_7d,unfilled_7d,cancelled_7d,unmet_rate_7d
2025-12-01,44214,43817,395,2,44214.0,43817.0,395.0,2.0,0.008979056407472746
2025-12-02,43246,42893,350,3,43730.0,43355.0,372.5,2.5,0.008575348730848387
2025-12-03,45118,44683,435,0,44192.666666666664,43797.666666666664,393.3333333333333,1.6666666666666667,0.008938134532124485
2025-12-04,44144,43778,366,0,44180.5,43792.75,386.5,1.25,0.008776496418103009
2025-12-05,44019,43575,444,0,44148.2,43749.2,398.0,1.0,0.009037741063055799
2025-12-06,29992,29677,312,3,41788.833333333336,41403.833333333336,383.6666666666667,1.3333333333333333,0.009212987520589631
2025-12-07,26981,26729,252,0,39673.42857142857,39307.42857142857,364.85714285714283,1.1428571428571428,0.009225318133043347
2025-12-08,44236,43841,395,0,39676.57142857143,39310.857142857145,364.85714285714283,0.8571428571428571,0.009217386294898752
2025-12-09,43971,43589,381,1,39780.142857142855,39410.28571428572,369.2857142857143,0.5714285714285714,0.00929753179080733
2025-12-10,45063,44638,423,2,39772.28571428572,39403.857142857145,367.57142857142856,0.8571428571428571,0.009263449781973089
2025-12-11,44145,43746,397,2,39772.42857142857,39399.28571428572,372.0,1.1428571428571428,0.009381948011364657
2025-12-12,43993,43581,412,0,39768.71428571428,39400.142857142855,367.42857142857144,1.1428571428571428,0.00926787388507118
2025-12-13,29760,29513,247,0,39735.57142857143,39376.71428571428,358.14285714285717,0.7142857142857143,0.009031130796803153
2025-12-14,26556,26302,254,0,39674.857142857145,39315.71428571428,358.42857142857144,0.7142857142857143,0.009052152496723366
2025-12-15,43741,43374,366,1,39604.142857142855,39249.0,354.2857142857143,0.8571428571428571,0.008967315829152072
2025-12-16,43398,43025,373,0,39522.28571428572,39168.42857142857,353.14285714285717,0.7142857142857143,0.008953357237869412
2025-12-17,44611,44175,435,1,39457.71428571428,39102.28571428572,354.85714285714283,0.5714285714285714,0.009007834788779309
2025-12-18,43566,43240,325,1,39375.0,39030.0,344.57142857142856,0.42857142857142855,0.008761904761904762
2025-12-19,43108,42717,390,1,39248.57142857143,38906.57142857143,341.42857142857144,0.5714285714285714,0.008713692946058092
2025-12-20,29417,29162,254,1,39199.57142857143,38856.42857142857,342.42857142857144,0.7142857142857143,0.008753740019023532
2025-12-21,26442,26179,263,0,39183.28571428572,38838.857142857145,343.7142857142857,0.7142857142857143,0.008790191152933283
2025-12-22,43233,42820,410,3,39110.71428571428,38759.71428571428,350.0,1.0,0.008974522874623322
2025-12-23,42554,42168,385,1,38990.142857142855,38637.28571428572,351.7142857142857,1.1428571428571428,0.00904990638659588
2025-12-24,42407,41983,422,2,38675.28571428572,38324.142857142855,349.85714285714283,1.2857142857142858,0.009079256963657115
2025-12-25,38752,36073,331,2348,37987.57142857143,37300.28571428572,350.7142857142857,336.57142857142856,0.01809238359914709
2025-12-26,50672,40875,435,9362,39068.142857142855,37037.142857142855,357.14285714285717,1673.857142857143,0.05198609023793592
2025-12-27,33957,28152,311,5494,39716.71428571428,36892.857142857145,365.2857142857143,2458.5714285714284,0.07109996870694958
2025-12-28,30279,25923,264,4092,40264.857142857145,36856.28571428572,365.42857142857144,3043.1428571428573,0.08465375690960569
2025-12-29,50227,42093,429,7705,41264.0,36752.42857142857,368.14285714285717,4143.428571428572,0.10933432116545726
2025-12-30,49530,41981,412,7137,42260.57142857143,36725.71428571428,372.0,5162.857142857143,0.1309697658066959
2025-12-31,51204,42272,530,8402,43517.28571428572,36767.0,387.42857142857144,6362.857142857143,0.15511734253383713
2026-01-01,49785,37695,400,11690,45093.42857142857,36998.71428571428,397.2857142857143,7697.428571428572,0.17950984305600437
2026-01-02,50244,41577,389,8278,45032.28571428572,37099.0,390.7142857142857,7542.571428571428,0.1761688439405379
2026-01-03,33854,29041,235,4578,45017.57142857143,37226.0,379.85714285714283,7411.714285714285,0.17307844873271708
2026-01-04,30330,26265,220,3845,45024.857142857145,37274.857142857145,373.57142857142856,7376.428571428572,0.1721271424673355
2026-01-05,50032,42825,439,6768,44997.0,37379.42857142857,375.0,7242.571428571428,0.16929065112277325
2026-01-06,49511,42751,502,6258,44994.28571428572,37489.42857142857,387.85714285714283,7117.0,0.1667957835915672
2026-01-07,51415,43915,546,6954,45024.42857142857,37724.142857142855,390.14285714285717,6910.142857142857,0.16214055227162397
2026-01-08,50279,43138,473,6668,45095.0,38501.71428571428,400.57142857142856,6192.714285714285,0.1462087973009361
2026-01-09,50652,42949,542,7161,45153.28571428572,38697.71428571428,422.42857142857144,6033.142857142857,0.1429701366456483
2026-01-10,34030,29347,346,4337,45178.42857142857,38741.42857142857,438.2857142857143,5998.714285714285,0.1424795019114685
2026-01-11,30479,26337,249,3893,45199.71428571428,38751.71428571428,442.42857142857144,6005.571428571428,0.14265576899980406
2026-01-12,50308,42801,411,7096,45239.142857142855,38748.28571428572,438.42857142857144,6052.428571428572,0.14347878259661356
2026-01-13,49690,42637,347,6706,45264.71428571428,38732.0,416.2857142857143,6116.428571428572,0.14432244605542635
2026-01-14,51592,43900,357,7335,45290.0,38729.857142857145,389.2857142857143,6170.857142857143,0.14484749077374381
2026-01-15,50396,42940,316,7140,45306.71428571428,38701.57142857143,366.85714285714283,6238.285714285715,0.14578728476069458
2026-01-16,50622,42655,380,7587,45302.42857142857,38659.57142857143,343.7142857142857,6299.142857142857,0.1466335768817187
2026-01-17,33849,28988,231,4630,45276.57142857143,38608.28571428572,327.2857142857143,6341.0,0.14727894590706012
2026-01-18,30290,26120,218,3952,45249.57142857143,38577.28571428572,322.85714285714283,6349.428571428572,0.14745522451672788
2026-01-19,49839,41309,320,8210,45182.57142857143,38364.142857142855,309.85714285714283,6508.571428571428,0.15090837807245525
2026-01-20,49475,42559,326,6590,45151.857142857145,38353.0,306.85714285714283,6492.0,0.15057757472402652
2026-01-21,51109,43766,441,6902,45082.857142857145,38333.857142857145,318.85714285714283,6430.142857142857,0.14970213575004754
2026-01-22,49853,42864,381,6608,45005.28571428572,38323.0,328.14285714285717,6354.142857142857,0.1484777978459673
2026-01-23,50219,42590,519,7110,44947.71428571428,38313.71428571428,348.0,6286.0,0.1475937120590909
2026-01-24,33549,28823,462,4264,44904.857142857145,38290.142857142855,381.0,6233.714285714285,0.14730509585345522
2026-01-25,30276,23512,447,6317,44902.857142857145,37917.57142857143,413.7142857142857,6571.571428571428,0.15556439297531177
2026-01-26,50123,36219,611,13293,44943.42857142857,37190.42857142857,455.2857142857143,7297.714285714285,0.1725057532644213
2026-01-27,49552,41801,512,7239,44954.42857142857,37082.142857142855,481.85714285714283,7390.428571428572,0.17511702327118575
2026-01-28,51245,43405,642,7198,44973.857142857145,37030.57142857143,510.57142857142856,7432.714285714285,0.17662006816658565
2026-01-29,50078,42604,531,6943,45006.0,36993.42857142857,532.0,7480.571428571428,0.17803340506980023
2026-01-30,50399,42463,635,7301,45031.71428571428,36975.28571428572,548.5714285714286,7507.857142857143,0.17890566013793455
2026-01-31,33622,28777,487,4358,45042.142857142855,36968.71428571428,552.1428571428571,7521.285714285715,0.17924166256997418
